SrNo,Name,RegNo,State,City,Address,PIN,SectorWorking
4,Achiku Society Ltd,H/RS-3689,Nagaland, Atoizu ,Atoizu Townzunheboto Dist,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Labour & Employment,Land Resources,Minority Issues,New & Renewable Energy,Nutrition,Rural Development & Poverty Alleviation,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs"
5,Achomang Multipurpose Cooperative Society Ltd,NL/5145,Nagaland, Kiphire ,"Mission Compound Ward Below Hopongkyu Memorial Hall, H/No 63, Kiphire 798611",798611,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Labour & Employment,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Nutrition,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment"
6,Acme Foundation,885,Nagaland, Wokha ,"Wokha Town, Nagaland797111",797111,"Civic Issues,Micro Small & Medium Enterprises,Rural Development & Poverty Alleviation,Vocational Training,Water Resources,Skill Development"
7,Act Of Kindness Society,HOME/SRC-7211,Nagaland, Dimapur ,"H.No 105, Near Super Kids Academynaharbari, Dimapur",,"Art & Culture,Children,Civic Issues,Differently Abled,Education & Literacy,Health & Family Welfare,Information & Communication Technology,Minority Issues,Nutrition,Rural Development & Poverty Alleviation,Sports,Tourism,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Youth Affairs"
8,Action For Women Development And Empowerment,H/RS.-698,Nagaland, Kohima ,"6.Awdeopposite War Cemeterybelow East Gate Hotel, Midland, Kohima, Nagaland -  797001",797001,"Aged/Elderly,Children,Health & Family Welfare,Micro Small & Medium Enterprises,Vocational Training"
9,Agape Youth Welfare Organisation,RS 2709,Nagaland, Wokha ,Agape Youth Welfare Organisation Po Box 20 Nst Wokha Town Dist Wokha 797111 Nagaland,797111,"Aged/Elderly,Agriculture,Differently Abled,Education & Literacy,Environment & Forests,Health & Family Welfare,HIV/AIDS,Micro Finance (SHGs),Rural Development & Poverty Alleviation,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Human Rights"
10,Aghiyilito Mpcs,NL/3661,Nagaland, Dimapur ,"Eralibill Village Near Post Office,H/No 132,Dimapur Nagaland 797115",797115,"Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,Housing,Human Rights,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises,New & Renewable Energy,Nutrition,Rural Development & Poverty Alleviation,Sports"
1,1 Step Foundation,249/UD/SR/2022,Manipur, Ukhrul ,Talui Village Ukhrul District Manipur,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Labour & Employment,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Rural Development & Poverty Alleviation,Tourism,Tribal Affairs,Water Resources,Youth Affairs,Skill Development"
2,7 Sisters Foundation,167/M/SR/2000,Manipur, Imphal ,"Sermon Road, 5Th Avenue, Dewlahland",,"Agriculture,Art & Culture,Children,Civic Issues,Differently Abled,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Labour & Employment,Land Resources,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,New & Renewable Energy,Rural Development & Poverty Alleviation,Sports,Tribal Affairs,Vocational Training,Water Resources,Youth Affairs"
3,A Imocha Singh Foundation,73/M/SR/1987,Manipur, Imphal ,Wangkhei Angom Leikai,,NaN
4,A Ray Of Hope,414/M/SR/1988,Manipur, Imphal West ,"Uripok Khumanthem Leikai,Imphal Westc/O Bedhajit Okram,Manipur",,"Drinking Water,Education & Literacy,Health & Family Welfare,HIV/AIDS,Sports,Vocational Training,Any Other"
5,Abbas Foundation,258/M/SR/1991,Manipur, Thoubal ,"Haoreibi Mayai Leikai, Thoubal District, Manipur State.",,"Animal Husbandry, Dairying  &  Fisheries,Children,Civic Issues,Dalit Upliftment,Differently Abled"
6,Abdul Aziz Memorial Trust,80 OF 2012,Manipur, Thoubal ,Lilong Turel Ahanbi Kaleikhong Makha,,"Agriculture,Education & Literacy,Aged/Elderly"
7,Abdul Razak Helpline,379 of 2013,Manipur, Imphal ,Kiyamgei Muslim Mayai Leikai Po Canchipur Ps Irilbung 795003,795003,"Animal Husbandry, Dairying  &  Fisheries,Aged/Elderly,Agriculture,Art & Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Dalit Upliftment,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Housing,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Land Resources,Micro Finance (SHGs),Minority Issues,Micro Small & Medium Enterprises"
8,Abdulla And Manira Foundation,36 OF 2013,Manipur, Lilong ,Turel Ahanbi Helalkhonglilong,,NaN
9,Abungchiang Horticulture Development Co-Operative Society Limtited,40/ST/HCS/2012-13,Manipur, Imphal ,"Abungchiangvillage, (Nagaching) Po Noney, Tamenglong District, Manipur-795159",795159,"Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Health & Family Welfare,HIV/AIDS,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Tribal Affairs,Vocational Training,Women's Development & Empowerment,Any Other,Agriculture"
10,Academy For The Development Of Environment Protection,179/Imphal District/1987,Manipur, Imphal ,Yaikskul Chingakham Leirak,,NaN
1, Lokdhara Pratishthan,E-12361 (THANE),"Thane), Bhiwandi (Maharashtra", Bhiwandi ,"At. Samatanagar, Borivali, Near Z.P. School Marathi, Post. Padgha, Tal. Bhiwandi",,NaN
2, Living Water Gospel Broadcast,D-64(BOM),"Bom), Mumbai (Maharashtra", Mumbai ,Nev Bhavana 422 Swatantrya Veer Savarkar Marg Prabhadevi ,,Any Other
3,Narayani Empowering India Foundation,U85100PN2015NPL153974,Maharashtra, Pune ,"S.No 169/1, Bldg-A11, Flat-12 Skf Employees Hsg. Scheme, Chinchwad Pune, Mh 411033 In",411033,NaN
4,01.Shri Vatavruksha Swami Adhyatmik Sanshodhan Sansthan Sonna Tq. Dist Parbhani,E-0000205(PBN),"Pbn), Parbhani (Maharashtra", Parbhani ,At. Sonna Post. Mandakhali Tq.Dist. Parbhani-431537,431537,"Rural Development & Poverty Alleviation,Agriculture,Children,Education & Literacy,Health & Family Welfare,Information & Communication Technology,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other"
5,0Jaykranti Bahu Uddeshiya Shikshan Prasarak Sevabhvi Pratistan Mandal,F9014,Maharashtra, Jalkot ,Atrampur Tanda Post Gutti Tq Jalkot Dist Latur,,NaN
6,1 Earth Social Foundation,E-8263/PUNE,Maharashtra, Shirur ,"House No. 295, Mukkam Post Mukhai,Near St. Stand, Taluka Shirur,",,"Education & Literacy,Health & Family Welfare"
7,1 Rupee Clinic Foundation,U85100MH2021NPL361664,Maharashtra, Thane ,"Dimond Homes Basment B, Opp Manas Society, Bhaskar, Thane, Thane, Maharashtra- 400099",400099,Health & Family Welfare
8,1008 Shree Bhagavan Mahavir Digambar Jain Charitable Trust,E-851,Maharashtra, Aurangabad ,"Saptshrungi Housing Society,Rx-3/9,House No.-15,Near Jagrut Hanuman Mandir,Bajajnagar, Aurangabad Pin Code-431136(Maharashtra)",431136,"Art & Culture,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Education & Literacy,Aged/Elderly,Health & Family Welfare,Human Rights,Rural Development & Poverty Alleviation,Women's Development & Empowerment"
9,14 Trees Foundation,U93090PN2020NPL191410,Maharashtra, Pune ,"A-502, Swojas Anand, Anand Park, Aundh",,Environment & Forests
10,27 Rab Sab Education Foundation,U85300MH2022NPL391157,Maharashtra, Thane ,"301 Building No 7,Mira Bhayander Road,Mira Road S.O, Thane-401107",401107,NaN
1,3 Star Golteck Rural Development And Womenws Walfare Society,04/14/01/09111/06,Madhya Pradesh, Jabalpur ,H.No. 2535 H Type Colony Medical College Jabalpur (M.P.),,"Art & Culture,Children,Education & Literacy,Health & Family Welfare,Human Rights,Tourism,Vocational Training,Women's Development & Empowerment,Drinking Water,HIV/AIDS,Right to Information & Advocacy,Rural Development & Poverty Alleviation"
